2,00	6,50	7,15
2,20	6,20	6,82
2,40	5,90	6,49
2,60	5,70	6,27
2,80	5,50	6,05
3,00	5,30	5,83
3,20	5,10	5,61
3,40	5,00	5,50
3,60	4,90	5,39
3,80	4,80	5,28
4,00	4,60	5,06
4,20	4,40	4,84
4,40	4,30	4,73
4,60	4,20	4,62
4,80	4,10	4,51
5,00	4,00	4,40
5,20	3,80	4,18
5,40	3,60	3,96
5,60	3,00	3,30
5,80	2,30	2,53
6,00	2,26	2,49
6,20	2,22	2,44
6,40	2,18	2,40
6,60	2,14	2,35
6,80	2,10	2,31
7,00	2,06	2,27
7,20	2,02	2,22
7,40	1,98	2,18
7,60	1,94	2,13
7,80	1,90	2,09
8,00	1,86	2,05
8,20	1,82	2,00
8,40	1,78	1,96
8,60	1,74	1,91
8,80	1,70	1,87
9,00	1,66	1,83
9,20	1,62	1,78
9,40	1,58	1,74
9,60	1,54	1,69
9,80	1,50	1,65
10,00	1,46	1,61
10,20	1,42	1,56
10,40	1,38	1,52
10,60	1,34	1,47
10,80	1,30	1,43
11,00	1,24	1,36
11,20	1,18	1,30
11,40	1,12	1,23
11,60	1,06	1,17
11,80	1,00	1,10
12,00	0,95	1,05
12,20	0,90	0,99
12,40	0,85	0,94
12,60	0,80	0,88
12,80	0,75	0,83
13,00	0,70	0,77
13,20	0,65	0,72
13,40	0,60	0,66
13,60	0,55	0,61
13,80	0,50	0,55
14,00	0,50	0,55
14,20	0,50	0,55
14,40	0,50	0,55
14,60	0,50	0,55
14,80	0,50	0,55
15,00	0,50	0,55
15,20	0,50	0,55
15,40	0,50	0,55
15,60	0,50	0,55
15,80	0,50	0,55
16,00	0,50	0,55
16,20	0,50	0,55
16,40	0,50	0,55
16,60	0,50	0,55
16,80	0,50	0,55
17,00	0,50	0,55
17,20	0,50	0,55
17,40	0,50	0,55
17,60	0,50	0,55
17,80	0,50	0,55
18,00	0,50	0,55
18,20	0,50	0,55
18,40	0,50	0,55
18,60	0,50	0,55
18,80	0,50	0,55
19,00	0,50	0,55
19,20	0,50	0,55
19,40	0,50	0,55
19,60	0,50	0,55
19,80	0,50	0,55
20,00	0,50	0,55
