5,80	2,25	3,72
6,00	2,24	3,70
6,20	2,23	3,68
6,40	2,22	3,66
6,60	2,21	3,65
6,80	2,20	3,63
7,00	2,19	3,61
7,20	2,18	3,60
7,40	2,17	3,58
7,60	2,16	3,56
7,80	2,15	3,55
8,00	2,14	3,53
8,20	2,13	3,51
8,40	2,12	3,50
8,60	2,11	3,48
8,80	2,10	3,47
9,00	2,08	3,43
9,20	2,06	3,40
9,40	2,04	3,37
9,60	2,02	3,33
9,80	2,00	3,30
10,00	1,98	3,27
10,20	1,96	3,23
10,40	1,94	3,20
10,60	1,92	3,17
10,80	1,90	3,14
11,00	1,89	3,12
11,20	1,88	3,10
11,40	1,87	3,09
11,60	1,86	3,07
11,80	1,85	3,05
12,00	1,84	3,04
12,20	1,83	3,02
12,40	1,82	3,00
12,60	1,81	2,99
12,80	1,80	2,97
13,00	1,79	2,95
13,20	1,78	2,94
13,40	1,77	2,92
13,60	1,76	2,90
13,80	1,75	2,89
14,00	1,74	2,87
14,20	1,73	2,85
14,40	1,72	2,84
14,60	1,71	2,82
14,80	1,70	2,81
15,00	1,69	2,79
15,20	1,68	2,77
15,40	1,67	2,76
15,60	1,66	2,74
15,80	1,65	2,72
16,00	1,64	2,71
16,20	1,63	2,69
16,40	1,62	2,67
16,60	1,61	2,66
16,80	1,60	2,64
17,00	1,59	2,62
17,20	1,58	2,61
17,40	1,57	2,59
17,60	1,56	2,57
17,80	1,55	2,56
18,00	1,54	2,54
18,20	1,53	2,52
18,40	1,52	2,51
18,60	1,51	2,49
18,80	1,50	2,48
19,00	1,49	2,46
19,20	1,48	2,44
19,40	1,47	2,43
19,60	1,45	2,39
19,80	1,43	2,36
20,00	1,41	2,33
